Company,TypeName,Inches,ScreenResolution,Ram(GB),OpSys,Weight(kg),Price_euros,HDD,SSD,TouchScreen,IPS,PPI,CpuName,GpuBrand
3,2,17.3,4,8,1,3.0,854.0,0,256,0,1,127.34,33,2
2,2,13.3,4,4,1,1.49,754.0,500,0,0,1,165.63,33,1
11,1,13.0,6,8,1,1.05,1349.0,0,256,0,1,199.69,33,1
2,2,17.3,4,6,1,2.71,699.0,2000,0,0,1,127.34,33,0
6,2,15.6,1,4,4,2.2,309.0,500,0,0,0,100.45,7,0
10,2,15.6,1,4,1,2.0,489.0,500,0,0,0,100.45,32,1
2,2,17.3,4,8,1,2.5,923.0,0,256,0,0,127.34,33,2
5,2,15.6,1,8,1,2.3,459.0,1000,0,0,0,100.45,32,1
3,2,15.6,1,4,1,2.1,449.0,0,128,0,0,100.45,32,1
8,4,18.4,4,32,1,4.4,2799.0,1000,512,0,0,119.72,34,2
6,2,15.6,4,8,1,1.9,813.0,1000,128,0,0,141.21,33,0
2,5,13.3,15,8,1,1.29,1499.0,0,256,1,1,331.26,33,1
5,2,15.6,4,16,3,2.02,1049.0,2000,256,0,0,141.21,34,0
5,1,13.3,4,8,1,1.23,1399.0,0,256,0,0,165.63,33,1
6,5,13.9,15,16,1,1.4,1849.0,0,512,1,1,316.97,34,1
10,2,15.6,1,8,1,2.0,793.0,0,128,0,0,100.45,33,1
12,2,15.6,4,8,4,1.95,1199.0,0,256,0,1,141.21,33,2
5,2,17.3,4,16,1,2.77,1549.0,0,512,1,0,127.34,34,2
5,2,15.6,15,16,1,2.06,2397.0,0,512,1,0,282.42,34,2
6,4,15.6,4,8,4,2.4,779.0,0,256,0,1,141.21,33,2
3,1,13.3,4,8,1,1.12,989.0,0,256,0,1,165.63,33,1
5,2,17.3,4,8,1,2.8,1085.0,1000,128,0,0,127.34,34,0
6,5,14.0,9,16,1,1.42,2824.0,0,1000,1,0,209.8,34,1
13,2,14.0,4,4,1,1.3,260.0,0,0,0,1,157.35,29,1
12,1,13.3,4,8,4,1.3,999.9,0,256,0,1,165.63,33,2
6,2,17.3,3,8,4,2.8,698.0,0,256,0,0,106.11,33,2
5,5,13.3,4,8,1,1.62,839.0,1000,0,1,1,165.63,34,1
2,2,17.3,4,8,1,2.5,914.0,1000,0,0,1,127.34,33,2
14,4,17.3,15,32,1,3.49,6099.0,0,1000,1,0,254.67,34,2
2,2,13.3,4,8,1,1.49,959.0,0,512,0,0,165.63,33,1
2,4,17.3,4,16,1,3.35,1379.0,1000,256,0,1,127.34,34,2
2,2,17.3,4,8,1,2.5,1045.0,0,256,0,0,127.34,34,2
5,4,15.6,15,16,1,2.65,1845.0,1000,512,0,1,282.42,34,2
6,2,15.6,1,4,1,2.1,493.0,0,128,0,0,100.45,33,1
3,2,15.6,4,8,1,2.23,742.0,1000,0,0,0,141.21,34,2
6,4,15.6,4,16,1,3.2,1749.0,1000,512,0,1,141.21,34,2
5,6,15.6,15,16,1,2.8,3055.0,1000,256,0,0,282.42,37,2
6,4,15.6,4,16,4,2.4,1398.0,0,512,0,0,141.21,34,2
5,2,15.6,1,6,1,2.3,439.0,1000,0,1,0,100.45,32,1
5,1,13.3,15,8,1,1.21,1949.0,0,256,1,1,331.26,34,1
5,1,13.3,4,8,1,1.2,1449.0,0,256,0,0,165.63,34,1
6,2,15.6,1,8,1,2.2,597.0,0,256,0,0,100.45,33,1
3,2,15.6,4,8,3,2.4,779.0,1000,0,0,0,141.21,34,2
4,4,17.3,4,16,1,2.9,1407.0,1000,256,0,0,127.34,34,2
